configuration,window_s,cell,component,point,low,high,se
calendar_3day_seed20260921,100_1000,alt1_open_beginners,equipment,-0.004479963147880572,-0.005540543153328065,-0.0034850009904021655,0.000598014044636563
calendar_3day_seed20260921,100_1000,alt1_open_beginners,altitude_circuit,0.01351946497282508,0.011948815171134847,0.014974921372940719,0.000915437082993256
calendar_3day_seed20260921,100_1000,alt1_open_beginners,altitude_equipment,0.001092535487125068,-0.000450793971617014,0.002559365755910719,0.0009200861185474483
calendar_3day_seed20260921,100_1000,alt1_open_beginners,circuit_equipment,-0.0012113738103690652,-0.0022418784234154777,-0.0001849880631189294,0.0006137467065177267
calendar_3day_seed20260921,100_1000,alt1_open_beginners,three_way,-0.0039110466564745705,-0.005403446367549203,-0.002407249881604695,0.0009191044961476848
calendar_3day_seed20260921,100_1000,alt1_open_experts,altitude,0.000982105207501749,-0.0005040004081943498,0.0024662122823344568,0.0009116132564930296
calendar_3day_seed20260921,100_1000,alt1_open_experts,circuit,0.02086378291087898,0.01977101318322964,0.022012724014462574,0.0006951061147170695
calendar_3day_seed20260921,100_1000,alt1_open_experts,equipment,0.00447996314788035,0.0034850009904019486,0.005540543153327853,0.0005980140446365608
calendar_3day_seed20260921,100_1000,alt1_open_experts,altitude_circuit,0.01351946497282508,0.011948815171134847,0.014974921372940719,0.000915437082993256
calendar_3day_seed20260921,100_1000,alt1_open_experts,altitude_equipment,-0.001092535487124846,-0.002559365755910925,0.00045079397161702485,0.0009200861185474445
calendar_3day_seed20260921,100_1000,alt1_open_experts,circuit_equipment,0.0012113738103693983,0.0001849880631190348,0.0022418784234155883,0.0006137467065177323
calendar_3day_seed20260921,100_1000,alt1_open_experts,three_way,0.0039110466564742374,0.002407249881604684,0.005403446367549396,0.0009191044961476772
calendar_3day_seed20260921,100_1000,alt1_closed_beginners,altitude,0.000982105207501749,-0.0005040004081943498,0.0024662122823344568,0.0009116132564930296
calendar_3day_seed20260921,100_1000,alt1_closed_beginners,circuit,-0.020863782910879203,-0.022012724014462682,-0.019771013183229647,0.0006951061147170654
calendar_3day_seed20260921,100_1000,alt1_closed_beginners,equipment,-0.004479963147880572,-0.005540543153328065,-0.0034850009904021655,0.000598014044636563
