configuration,seed,contrast,point,low,high,se,se_ratio,contains_zero,site_day_contains_zero
calendar_3day_all_sites,20260921,equipment_alt1,0.012527346585154198,0.008821373460122062,0.016244671328696756,0.002235030263459369,1.0451133379336701,False,False
calendar_3day_all_sites,20260921,alt1_alt2,0.06248516594886455,0.059592228575777846,0.06537725941275235,0.0017829936533139397,1.2790244194356997,False,False
calendar_3day_all_sites,20260921,equipment_interaction_1_2,-0.008129051054590719,-0.011983063199993666,-0.003856373429613264,0.0024754725631967556,1.0476401715951282,False,False
calendar_3day_all_sites,20260921,alt1_alt3,0.053423112548322105,0.05005247244000287,0.05650877256348938,0.0019361304904155965,1.4162463054553691,False,False
calendar_3day_all_sites,20260921,equipment_interaction_1_3,-0.0032180856594682394,-0.007189967578735107,0.0009565954847651102,0.0024434945703936143,1.045057173575807,True,True
calendar_3day_all_sites,20260921,equipment_alt2,0.020656397639744917,0.018639392854465236,0.022578690549225264,0.0011767596910595636,1.2120020621935907,False,False
calendar_3day_all_sites,20260921,alt2_alt3,-0.009062053400542447,-0.010892031587374706,-0.007420239937077295,0.0010826430376051953,1.2901314893832516,False,False
calendar_3day_all_sites,20260921,equipment_interaction_2_3,0.00491096539512248,0.0023739063791725747,0.007348415127520694,0.0014816618198890054,1.1523255171831508,False,False
calendar_3day_all_sites,20260921,equipment_alt3,0.015745432244622437,0.01414913198276111,0.017272558047784336,0.0009350146395752651,1.1216172376077673,False,False
calendar_3day_all_sites,20260921,mountain_regions,0.03696487029079909,0.031966652701861345,0.04184905399248035,0.0030496214427192503,1.2655409130573605,False,False
calendar_3day_all_sites,20260921,lowland_regions,-0.0020132836586727043,-0.005088895991264541,0.0011530583816532648,0.0019529041032703791,1.16723193162542,True,True
calendar_3day_all_sites,20260921,circuit_altitude_open_minus_closed_0,0.12833368565036885,0.11930438263173786,0.13848754906573849,0.00583234366548051,1.075189593675559,False,False
calendar_3day_all_sites,20260921,circuit_altitude_open_minus_closed_1,0.12880226891223123,0.12464806611770442,0.13272332867022338,0.002427420375910082,1.094844621442144,False,False
calendar_3day_all_sites,20260921,circuit_altitude_open_minus_closed_2,0.04769380668054546,0.04508404747258317,0.05035649441034299,0.0016045836284171962,1.4748620125333387,False,False
calendar_3day_all_sites,20260921,circuit_altitude_open_minus_closed_3,0.022741488193559367,0.020387157447383192,0.024920651207345094,0.0013601633832796872,1.4496296392172205,False,False
calendar_3day_all_sites,20260921,circuit_altitude_open_0_minus_2,0.05997638759911339,0.05767603670219191,0.06199863976040074,0.0013033513277913799,1.2268874379274246,False,False
calendar_3day_all_sites,20260921,circuit_altitude_open_0_minus_3,0.06428534158053834,0.061991110586118926,0.06642508825501992,0.0013644368321597744,1.291533644869103,False,False
calendar_3day_all_sites,20260921,circuit_altitude_open_1_minus_2,0.050845940744160156,0.04843770266816762,0.05300990715304659,0.0014081792053782082,1.1818932165763378,False,False
calendar_3day_all_sites,20260921,circuit_altitude_open_1_minus_3,0.0551548947255851,0.05231981666001611,0.05772555550598827,0.0016061945900538246,1.338958790651503,False,False
calendar_3day_all_sites,20260921,circuit_altitude_closed_0_minus_2,-0.020663491370709997,-0.03032352009161408,-0.01200150775030447,0.005503734423472912,1.0224808814190742,False,False
calendar_3day_all_sites,20260921,circuit_altitude_closed_0_minus_3,-0.04130685587627114,-0.05185724033917454,-0.03240897739900362,0.005816152252212495,1.0791743044995097,False,False
calendar_3day_all_sites,20260921,circuit_altitude_closed_1_minus_2,-0.030262521487525618,-0.03386668759009101,-0.02664628450939709,0.002210185665458176,1.051847991015762,False,False
calendar_3day_all_sites,20260921,circuit_altitude_closed_1_minus_3,-0.050905885993086764,-0.054777685269710094,-0.0473415814058895,0.0023156175857271966,1.0955153048662303,False,False
calendar_3day_all_sites,20260922,open_closed,0.054301860094277066,0.05188084013461704,0.05668434697945402,0.0014607704331278423,1.7882036345946462,False,False
calendar_3day_all_sites,20260922,experts_beginners,0.02467126426737709,0.02326939333774535,0.026162472754263165,0.0008941605786990609,1.2254019026151002,False,False
calendar_3day_all_sites,20260922,equipment_alt0,0.013116646245735608,0.010642464232463667,0.015715538979242903,0.0015559265884044955,1.1000083201476263,False,False
calendar_3day_all_sites,20260922,alt0_alt1,0.021058841609085333,0.018546347686199966,0.023587822246923233,0.0014966588421793405,1.127301169486963,False,False
calendar_3day_all_sites,20260922,equipment_interaction_0_1,0.0005892996605814105,-0.0037801093599464986,0.0053046993394529115,0.0027319837236028117,1.1023558356244998,True,True
calendar_3day_all_sites,20260922,alt0_alt2,0.08354400755794988,0.08095865841764617,0.0858247535851289,0.001451327231686364,1.3895671816606712,False,False
calendar_3day_all_sites,20260922,equipment_interaction_0_2,-0.007539751394009309,-0.010615830319530856,-0.004287244051335521,0.0018972993471787088,1.1166945527415648,False,False
calendar_3day_all_sites,20260922,alt0_alt3,0.07448195415740744,0.07210330969958581,0.0767401076071419,0.0014455911201201991,1.4349406028173959,False,False
calendar_3day_all_sites,20260922,equipment_interaction_0_3,-0.002628785998886829,-0.005551242234605453,0.0005275081921834896,0.0018734933363145807,1.1580114049839367,True,True
calendar_3day_all_sites,20260922,equipment_alt1,0.012527346585154198,0.008876790426423942,0.01621428465198029,0.0022820387013752774,1.0670947608542263,False,False
calendar_3day_all_sites,20260922,alt1_alt2,0.06248516594886455,0.05939157177907154,0.06525468450794154,0.0017914190833214535,1.2850683729314551,False,False
calendar_3day_all_sites,20260922,equipment_interaction_1_2,-0.008129051054590719,-0.012139485197611372,-0.003938870656884919,0.002530211799262006,1.0708062625940642,False,False
calendar_3day_all_sites,20260922,alt1_alt3,0.053423112548322105,0.05040255483613068,0.056306254223507976,0.0018330851607610886,1.340870411041196,False,False
calendar_3day_all_sites,20260922,equipment_interaction_1_3,-0.0032180856594682394,-0.00726069428659275,0.0009043388743286269,0.002500704180166701,1.0695251277162598,True,True
calendar_3day_all_sites,20260922,equipment_alt2,0.020656397639744917,0.018942871014232525,0.022455153105060143,0.0010763395340533568,1.1085744564538507,False,False
calendar_3day_all_sites,20260922,alt2_alt3,-0.009062053400542447,-0.010697162924029219,-0.007414983889087562,0.0010142468007409017,1.2086271191809292,False,False
calendar_3day_all_sites,20260922,equipment_interaction_2_3,0.00491096539512248,0.0026261112436870683,0.007190450277203052,0.001390577604961779,1.0814870413148179,False,False
calendar_3day_all_sites,20260922,equipment_alt3,0.015745432244622437,0.014158151690272087,0.01729823137189057,0.0009420523972988659,1.1300595336347938,False,False
calendar_3day_all_sites,20260922,mountain_regions,0.03696487029079909,0.031923503819956685,0.04154697393860896,0.0029436187130258596,1.2215515872205351,False,False
calendar_3day_all_sites,20260922,lowland_regions,-0.0020132836586727043,-0.005396901337578191,0.001174046949097456,0.0020296953750764133,1.2131293335367725,True,True
calendar_3day_all_sites,20260922,circuit_altitude_open_minus_closed_0,0.12833368565036885,0.1191615631553253,0.13849242868152895,0.005925460976128468,1.092355722618252,False,False
calendar_3day_all_sites,20260922,circuit_altitude_open_minus_closed_1,0.12880226891223123,0.12467807791582777,0.13261235974279204,0.0024413453593911355,1.101125236624912,False,False
calendar_3day_all_sites,20260922,circuit_altitude_open_minus_closed_2,0.04769380668054546,0.04511431602698237,0.05056165630624719,0.001622725005165386,1.4915367603913567,False,False
calendar_3day_all_sites,20260922,circuit_altitude_open_minus_closed_3,0.022741488193559367,0.020488043543445016,0.02473985733644743,0.0013160122468020472,1.402574412742306,False,False
