configuration,seed,group,archive_groups,contributing_groups,H,H_low,H_high,H_se_ratio,H_interval_width_ratio,MSD_se_ratio_at_100,full_band_width_pct_at_100,MSD_se_ratio_at_1000,full_band_width_pct_at_1000,MSD_se_ratio_at_10000,full_band_width_pct_at_10000
calendar_3day_all_sites,20260921,open_0,2412,532,0.9534469183293818,0.9519279655394812,0.9549488203435471,1.2575783571339514,1.2891675919579402,1.2688889261157565,5.727866489178495,1.2763001231719244,7.026475917441305,1.2650648287228197,8.097918701550848
calendar_3day_all_sites,20260921,closed_0,2412,129,0.8251132326790129,0.8149478360727406,0.8342711328685566,1.0679178274013499,1.0934388268438058,1.0355269961466436,9.55841590168333,1.0477671901850432,15.360384761512329,1.0781144023764373,41.268726318042205
calendar_3day_all_sites,20260921,alt1,2412,1013,0.9285149118613794,0.9257719315103482,0.9310893046689593,1.316286379810957,1.3271627258621166,1.3218534654140401,4.960089699725899,1.3287010396295944,7.053848806865999,1.3270179516031566,11.2205460309353
calendar_3day_all_sites,20260921,open_1,2412,797,0.9443164714744285,0.9424580664022115,0.9462293812285931,1.2515691479644877,1.2706183144714327,1.2657149801283247,5.351279013904396,1.2706883279973475,7.095648665042274,1.2684609563987128,9.007890345737353
calendar_3day_all_sites,20260921,closed_1,2412,514,0.8155142025621973,0.8122131640304123,0.8189988360992576,1.0491840934414225,1.081952432557032,1.1418414276925943,3.8588891303701933,1.1245001628810185,5.811432518310212,1.0740313120983858,15.110509879967745
calendar_3day_all_sites,20260921,alt2,2412,1401,0.8660297459125148,0.8644581787421117,0.8675724948329198,1.4560076201032779,1.4565830533913178,1.6977806781599885,1.6074021557167386,1.7660454963704564,2.5646371228677736,1.3701741374818575,6.220788748394235
calendar_3day_all_sites,20260921,open_2,2412,1054,0.8934705307302684,0.8917332774372796,0.8952464592131768,1.2917723520620907,1.2727381470316916,1.2951675553995468,2.1036339639205153,1.3100073394095613,3.0577810874282236,1.2727391442121587,6.710108345833141
calendar_3day_all_sites,20260921,closed_2,2412,1208,0.8457767240497229,0.8434727635790146,0.8482060820108813,1.8253008323028113,1.8244244323827226,1.7997530463471454,2.0008048539472605,1.911608681273002,3.279448345846538,1.760173208427548,9.5754019821459
calendar_3day_all_sites,20260921,alt3,2412,1250,0.8750917993130573,0.8735864397670645,0.8767870590974632,1.7902085644774617,1.8035189716043412,1.9528569546732866,1.8813513481285362,1.9974697033861015,2.92813104327378,1.717049988198135,6.385170326747803
calendar_3day_all_sites,20260921,open_3,2412,1008,0.8891615767488434,0.8873742079126915,0.8909821060167782,1.4882468026010183,1.4264399568971442,1.3840320863803064,2.0318223837080454,1.4629588487681378,3.1764324110162048,1.4219316869863152,6.863365827331838
calendar_3day_all_sites,20260921,closed_3,2412,1036,0.8664200885552841,0.8645794210463222,0.8685318465287841,1.8590908805599866,1.8541002276981293,1.876517197136277,2.207317226672513,1.9363461941111746,3.341626495101949,1.8649895141673933,8.4542176096822
calendar_3day_all_sites,20260921,mountains,2412,1642,0.870555828222713,0.8693052828886579,0.8719431001700791,1.8271703508176653,1.8618763990673162,2.128702932199827,1.4669037465197974,2.221693041703117,2.373399159601152,1.7359133913380362,5.075587772284413
calendar_3day_all_sites,20260921,lowlands,2412,1156,0.9379143176166245,0.9358246559537318,0.939918198309429,1.3890701299873613,1.315907736896582,1.3963034612308687,4.697798372785149,1.4019091708136453,6.440286747358194,1.3965105373274433,8.940476924589493
calendar_3day_all_sites,20260921,beginners,2412,1460,0.8698786732345223,0.8684648665352671,0.871308822222743,1.6194201088182054,1.5637092233291197,2.1869672505254916,1.6178474126173386,2.1529843682795207,2.5029398280129276,1.5383056501571815,5.560594480216514
calendar_3day_all_sites,20260921,beginners_mountains,2412,1353,0.8624103546702508,0.8609949482058599,0.8640879684591727,1.8058862947003496,1.7801168681013577,2.3150167783595483,1.7534237114867384,2.319872000207193,2.704954017141532,1.6969044830596665,5.982235715324216
