discipline,circuit_type,altitude_band,control,lag_s,mean_m2,n_flights,n_clusters,pointwise_95_low_m2,pointwise_95_high_m2
paragliders,open,High mountains,fixed long segments,52.0,196402.71056261318,2209,1642,194021.69300714796,198920.24233091823
paragliders,open,High mountains,fixed long segments,59.0,254397.36255800136,2209,1642,251294.96990582778,257680.1528036603
paragliders,open,High mountains,fixed long segments,67.0,320707.19919576164,2209,1642,316638.1603585624,324846.39856558247
paragliders,open,High mountains,fixed long segments,75.0,399993.0361588954,2209,1642,394891.9279078797,405166.4262909998
paragliders,open,High mountains,fixed long segments,85.0,500065.5303729063,2209,1642,493726.0604743354,506987.76290797966
paragliders,open,High mountains,fixed long segments,95.0,624867.4670594726,2209,1642,616770.3390249592,633284.2128592317
paragliders,open,High mountains,fixed long segments,107.0,777030.0954263808,2209,1642,766622.1113051365,787716.002333404
paragliders,open,High mountains,fixed long segments,121.0,973776.8142117474,2209,1642,960926.3719293621,987643.5585694961
paragliders,open,High mountains,fixed long segments,137.0,1231192.0463020597,2209,1642,1214553.0070472455,1248747.1209140078
paragliders,open,High mountains,fixed long segments,154.0,1531123.7696355816,2209,1642,1510294.6491995917,1553498.1106738427
paragliders,open,High mountains,fixed long segments,174.0,1923754.5715255772,2209,1642,1897150.5642122445,1952031.3958532976
paragliders,open,High mountains,fixed long segments,196.0,2397288.9376131734,2209,1642,2363771.6192056593,2432716.825867485
paragliders,open,High mountains,fixed long segments,221.0,2985679.356665912,2209,1642,2943040.243623044,3030682.3106946987
paragliders,open,High mountains,fixed long segments,249.0,3721081.5044703484,2209,1642,3667705.735391231,3777554.1719720257
paragliders,open,High mountains,fixed long segments,281.0,4631454.416704391,2209,1642,4564516.806295608,4703145.896413669
paragliders,open,High mountains,fixed long segments,316.0,5739571.0205409685,2209,1642,5655662.387740037,5829820.625590384
paragliders,open,High mountains,fixed long segments,357.0,7148422.415742418,2209,1642,7041306.48856429,7262913.811311341
paragliders,open,High mountains,fixed long segments,402.0,8845035.332390223,2209,1642,8709262.69510792,8988510.059539724
paragliders,open,High mountains,fixed long segments,453.0,10974016.24898144,2209,1642,10802175.94286855,11154271.12550234
paragliders,open,High mountains,fixed long segments,511.0,13607713.896559529,2209,1642,13390735.688671729,13835094.795712618
