discipline,statistic,days,offset_days,seed,archive_blocks,contributing_blocks,cohort_flights,flights_per_block_median,flights_per_block_p95,largest_block_fraction,size_balance_index,point,se,se_monte_carlo,low,high,valid_replicates,invalid_replicates,se_ratio
para,msd_100,16,0,20260918,502,457,46273,30.0,408.4,0.01886629351889871,153.8739202026672,614697.147377537,3697.9456328861356,81.0603403026467,608250.8592912364,620618.7390348308,1000,0,2.5518741509418525
para,msd_1000,16,0,20260918,502,457,46273,30.0,408.4,0.01886629351889871,153.8739202026672,38415664.97888112,345350.3269123948,7756.441687928066,37839050.62951583,38974032.29731914,1000,0,2.483016152924879
para,msd_10000,16,0,20260918,502,457,46273,30.0,408.4,0.01886629351889871,153.8739202026672,1444562811.010179,29842892.766182017,658499.0337918169,1395065964.0973299,1495007350.6771185,1000,0,1.8999655997652751
para,hurst,16,0,20260918,502,457,46273,30.0,408.4,0.01886629351889871,153.8739202026672,0.8822765078884934,0.0010161400613124423,2.2850094398912698e-05,0.8806537064010724,0.8839830804900074,1000,0,1.96067568524933
para,msd_100,16,0,20260919,502,457,46273,30.0,408.4,0.01886629351889871,153.8739202026672,614697.147377537,3757.794452098066,83.24425802461278,608170.7963397078,620503.0777612253,1000,0,2.593174556592251
para,msd_1000,16,0,20260919,502,457,46273,30.0,408.4,0.01886629351889871,153.8739202026672,38415664.97888112,346871.5307763397,7577.605149343952,37830760.95640017,38963533.04967149,1000,0,2.4939533765836397
para,msd_10000,16,0,20260919,502,457,46273,30.0,408.4,0.01886629351889871,153.8739202026672,1444562811.010179,29990581.37458063,691548.8633554578,1395563316.394647,1494544710.5395691,1000,0,1.909368283266271
para,hurst,16,0,20260919,502,457,46273,30.0,408.4,0.01886629351889871,153.8739202026672,0.8822765078884934,0.0010197079732955853,2.3377741382036444e-05,0.8806029184364578,0.8839640052950585,1000,0,1.9675600888259617
para,msd_100,16,5,20260918,503,456,46273,30.5,435.0,0.02163248546668684,145.4470549524255,614697.1473775373,3768.778702477187,79.66683637943434,608665.6905540491,620962.434655596,1000,0,2.600754555703291
para,msd_1000,16,5,20260918,503,456,46273,30.5,435.0,0.02163248546668684,145.4470549524255,38415664.9788811,353766.9236052019,7270.903612175468,37852704.830932446,38996607.76732877,1000,0,2.543530198843809
para,msd_10000,16,5,20260918,503,456,46273,30.5,435.0,0.02163248546668684,145.4470549524255,1444562811.0101776,30688778.59382096,640479.697295433,1394578855.290638,1496741147.7072556,1000,0,1.9538194264179045
para,hurst,16,5,20260918,503,456,46273,30.5,435.0,0.02163248546668684,145.4470549524255,0.8822765078884937,0.001033248198876208,2.1361361976834036e-05,0.8805849353453623,0.883980397818637,1000,0,1.9936863996363323
para,msd_100,16,5,20260919,503,456,46273,30.5,435.0,0.02163248546668684,145.4470549524255,614697.1473775373,3685.120893475719,85.02142380681862,608656.9164314148,621010.4936731213,1000,0,2.543024069236226
para,msd_1000,16,5,20260919,503,456,46273,30.5,435.0,0.02163248546668684,145.4470549524255,38415664.9788811,345476.2484494857,7871.7839973748505,37857516.55202469,39009375.882191084,1000,0,2.4839215095619878
para,msd_10000,16,5,20260919,503,456,46273,30.5,435.0,0.02163248546668684,145.4470549524255,1444562811.0101776,30441308.73466992,682357.866210126,1395401437.9659233,1494852843.7040048,1000,0,1.9380641099661915
para,hurst,16,5,20260919,503,456,46273,30.5,435.0,0.02163248546668684,145.4470549524255,0.8822765078884937,0.0010241257632240448,2.307297910283287e-05,0.8805765666675732,0.8839740377579862,1000,0,1.9760843598640332
para,msd_100,16,10,20260918,505,454,46273,31.0,417.9999999999993,0.01828279990491215,157.0281771926931,614697.1473775369,3693.803702235865,82.40049802941901,608477.4707318696,620803.354626296,1000,0,2.549015892110943
para,msd_1000,16,10,20260918,505,454,46273,31.0,417.9999999999993,0.01828279990491215,157.0281771926931,38415664.97888112,343913.3640171861,7694.253745096373,37840791.361438274,38969725.91686649,1000,0,2.4726846089768637
para,msd_10000,16,10,20260918,505,454,46273,31.0,417.9999999999993,0.01828279990491215,157.0281771926931,1444562811.0101783,29152077.32549298,663997.5377155883,1397841642.418085,1493284241.6119273,1000,0,1.8559844219558903
para,hurst,16,10,20260918,505,454,46273,31.0,417.9999999999993,0.01828279990491215,157.0281771926931,0.8822765078884934,0.0009962077239060651,2.3058198077598013e-05,0.8806127854063658,0.8838663674370992,1000,0,1.9222155843333273
para,msd_100,16,10,20260919,505,454,46273,31.0,417.9999999999993,0.01828279990491215,157.0281771926931,614697.1473775369,3803.8472747378787,84.24030881064743,608507.3868310985,620907.6553386024,1000,0,2.6249546364904854
