discipline,statistic,variant,days,rho,occupied_day_pairs,bartlett_variance_factor
para,msd_100,month_centred,54,0.013359210165245229,1985,3.856833994770246
para,msd_100,month_centred,55,0.016279036390187948,1954,3.8887699880354982
para,msd_100,month_centred,56,0.02792506283984702,1950,3.920146804269497
para,msd_100,month_centred,57,0.03207342047843861,1948,3.9514025063493152
para,msd_100,month_centred,58,0.018944087211626676,1924,3.9826864056152957
para,msd_100,month_centred,59,0.03456221679898467,1933,4.013552006167565
para,msd_100,month_centred,60,0.018831143356592316,1934,4.044540827261393
para,msd_100,month_centred,61,0.020935897137630256,1945,4.075131035970395
para,msd_100,month_centred,62,0.05041943136128803,1929,4.105409815273869
para,msd_100,month_centred,63,0.0229635352402971,1920,4.136327980356954
para,msd_100,month_centred,64,0.02864587342507826,1921,4.1669975632574525
para,msd_1000,month_centred,0,1.0,3642,
para,msd_1000,month_centred,1,0.1909746271325904,2503,1.0
para,msd_1000,month_centred,2,0.10855664432886784,2312,1.1909746271325905
para,msd_1000,month_centred,3,0.07927002008029467,2257,1.3270039323960325
para,msd_1000,month_centred,4,0.05417396424804627,2246,1.4346535950679007
para,msd_1000,month_centred,5,0.025101801948573668,2183,1.5209129783702404
para,msd_1000,month_centred,6,0.015084132117286566,2214,1.5867865012213245
para,msd_1000,month_centred,7,0.07475775502677254,2181,1.638148769577038
para,msd_1000,month_centred,8,0.03773583761113958,2174,1.6953599096005163
para,msd_1000,month_centred,9,0.035043483916900875,2171,1.7482432046434746
para,msd_1000,month_centred,10,0.0528689011573601,2183,1.7975585374612217
para,msd_1000,month_centred,11,0.0336467974554136,2130,1.8475199736134438
para,msd_1000,month_centred,12,0.04126355459599756,2155,1.894762303316198
para,msd_1000,month_centred,13,0.03794441990675805,2172,1.9410848214640666
para,msd_1000,month_centred,14,0.045649723827605446,2167,1.9862104684346331
para,msd_1000,month_centred,15,0.047464282600765365,2158,2.0314059923194723
para,msd_1000,month_centred,16,0.029358131899659426,2165,2.0768851110438016
para,msd_1000,month_centred,17,0.03481671659403522,2115,2.1204676430828755
para,msd_1000,month_centred,18,0.05637897591113183,2132,2.1630761956280566
para,msd_1000,month_centred,19,0.013689904284161045,2139,2.207134266422285
para,msd_1000,month_centred,20,0.053773915237659814,2121,2.248155520565507
para,msd_1000,month_centred,21,0.0502396907565279,2114,2.2903913138605803
para,msd_1000,month_centred,22,0.023415934290854562,2144,2.333354734197603
para,msd_1000,month_centred,23,0.022331178135953162,2077,2.374618373139308
para,msd_1000,month_centred,24,0.0019987087282094204,2108,2.4143043070138663
para,msd_1000,month_centred,25,0.0075782432577412755,2079,2.4509752628767174
para,msd_1000,month_centred,26,0.013973253221818742,2083,2.4854083177699433
para,msd_1000,month_centred,27,0.027917531580446266,2071,2.518325831798622
para,msd_1000,month_centred,28,0.04008680333863645,2104,2.550886204223855
para,msd_1000,month_centred,29,0.05267058840590795,2078,2.583965640850012
para,msd_1000,month_centred,30,0.04201443071191641,2066,2.618351154261485
para,msd_1000,month_centred,31,0.005692550922575502,2065,2.6532288558858914
para,msd_1000,month_centred,32,-0.0016833879777456077,2082,2.6862824855914322
para,msd_1000,month_centred,33,0.0026561945584481195,2052,2.717230841497987
para,msd_1000,month_centred,34,0.025036938265166682,2045,2.7465149526193584
para,msd_1000,month_centred,35,-0.005043901393950702,2056,2.7755563681489472
para,msd_1000,month_centred,36,0.022901915882770813,2041,2.802704154960561
para,msd_1000,month_centred,37,0.008573623603232525,2030,2.829622435235481
para,msd_1000,month_centred,38,0.014578045674278263,2022,2.855575207264522
para,msd_1000,month_centred,39,0.013713402976268803,2024,2.8809446599933195
para,msd_1000,month_centred,40,0.004894190680222781,2066,2.905731310234491
para,msd_1000,month_centred,41,-0.0002605090125038308,2054,2.92954759659464
para,msd_1000,month_centred,42,-0.004965039868706474,2029,2.9522173688894244
para,msd_1000,month_centred,43,0.0004946726157683815,2045,2.973601801083581
para,msd_1000,month_centred,44,0.02332848395997492,2025,2.994036698751448
para,msd_1000,month_centred,45,0.021830802074861183,2004,3.014600200254519
para,msd_1000,month_centred,46,0.045810989199027236,1974,3.0352188017824515
para,msd_1000,month_centred,47,0.03447617353198654,1990,3.0569094198070252
