configuration,window_s,contrast,point,low,high,se,sim_low,sim_high
calendar_3day_seed20260922,1000_10000,equipment_alt0_open,0.007924333837114217,0.005528117370785612,0.01056072321703223,0.0015552678963417265,0.003707960895535836,0.012140706778692598
calendar_3day_seed20260922,1000_10000,equipment_alt0_closed,0.04376554905063357,-0.01609141989758611,0.11058122627591366,0.03854194011694732,-0.060722683367252436,0.14825378146851959
calendar_3day_seed20260922,1000_10000,equipment_alt1_open,0.020716195867311216,0.01635422754616247,0.02501086465031882,0.0026637828353487675,0.013494609222576878,0.027937782512045553
calendar_3day_seed20260922,1000_10000,equipment_alt1_closed,0.011007068004606602,-0.010254901990256882,0.03394611216596368,0.013586381169637379,-0.025825975403782668,0.04784011141299587
calendar_3day_seed20260922,1000_10000,equipment_alt2_open,0.047620874070540276,0.0410433347979689,0.05393502564166596,0.0038457445568684124,0.03719495752719545,0.0580467906138851
calendar_3day_seed20260922,1000_10000,equipment_alt2_closed,0.05901889121517678,0.052850414100713644,0.06583211865689277,0.003955126423425446,0.048296437500624845,0.06974134492972872
calendar_3day_seed20260922,1000_10000,equipment_alt3_open,0.021496380594510645,0.0157257704523666,0.02737420114640742,0.003614118507940687,0.011698408476406488,0.0312943527126148
calendar_3day_seed20260922,1000_10000,equipment_alt3_closed,0.055546629051769325,0.05093600573735015,0.05994269466328665,0.002726150143092332,0.04815596296456234,0.0629372951389763
calendar_3day_seed20260922,1000_10000,attenuation_beginners,0.24771071669488398,0.20783650121921216,0.2974767410938672,0.02761868059241676,0.17283573354511594,0.322585699844652
calendar_3day_seed20260922,1000_10000,attenuation_experts,0.2459197499386233,0.20991941833476013,0.288408624721766,0.02445063021135173,0.17963343626226197,0.31220606361498465
calendar_3day_seed20260922,1000_10000,attenuation_experts_minus_beginners,-0.0017909667562606701,-0.06838700002602129,0.0575265056816671,0.03872758242063259,-0.10678248043386533,0.10320054692134399
grid50_altitude_month_seed20260921,10_10000,circuit_alt0_beginners,0.1329022683799561,0.11832115195383983,0.15120985488405003,0.010229972874181566,0.10465961597700346,0.16114492078290876
grid50_altitude_month_seed20260921,10_10000,circuit_alt0_experts,0.12707664932398,0.11311047870388559,0.14199108563977536,0.008973329131609064,0.1023033074316537,0.1518499912163063
grid50_altitude_month_seed20260921,10_10000,circuit_alt1_beginners,0.1190496003880337,0.1120694610769607,0.12692882122754207,0.004586764772819175,0.10638657530223121,0.13171262547383616
grid50_altitude_month_seed20260921,10_10000,circuit_alt1_experts,0.13561075385086352,0.12802460300797935,0.14318779815911048,0.004736967524882667,0.12253305277631014,0.1486884549254169
grid50_altitude_month_seed20260921,10_10000,circuit_alt2_beginners,0.04860129206443997,0.04268403045190928,0.05641012819801587,0.00437217557271201,0.03653069945745178,0.060671884671428165
grid50_altitude_month_seed20260921,10_10000,circuit_alt2_experts,0.04832042738697995,0.041086957523969965,0.057196081700578785,0.004840625710325974,0.0349565493952243,0.06168430537873559
grid50_altitude_month_seed20260921,10_10000,circuit_alt3_beginners,0.02928516721457286,0.024397072872427778,0.03495237152711533,0.0031257051315596073,0.02065579892293641,0.03791453550620931
grid50_altitude_month_seed20260921,10_10000,circuit_alt3_experts,0.017931875202467862,0.01379516608568771,0.02299592723118017,0.0027616962748997042,0.010307453427961287,0.025556296976974438
grid50_altitude_month_seed20260921,10_10000,equipment_alt0_open,0.009649132513092074,0.007422406116894608,0.011756675536625544,0.0013435296480196275,0.005939949574997979,0.013358315451186167
grid50_altitude_month_seed20260921,10_10000,equipment_alt0_closed,0.01547475156906819,0.0023851614577362784,0.029520061831879236,0.008564862495695406,-0.008170905884775582,0.03912040902291196
grid50_altitude_month_seed20260921,10_10000,equipment_alt1_open,0.018014942500661157,0.014685703215811923,0.021340043830130138,0.0021041528877687957,0.012205850009135122,0.023824034992187194
grid50_altitude_month_seed20260921,10_10000,equipment_alt1_closed,0.0014537890378313323,-0.006518963863036998,0.009770821475355195,0.004789268421725071,-0.011768303040300425,0.01467588111596309
grid50_altitude_month_seed20260921,10_10000,equipment_alt2_open,0.022668859885793258,0.019089898686160157,0.02617654870201865,0.002152204453347431,0.01672710783781032,0.028610611933776196
grid50_altitude_month_seed20260921,10_10000,equipment_alt2_closed,0.022949724563253282,0.0199892828723874,0.025120752344584656,0.0015571293402063691,0.01865084095498117,0.027248608171525395
grid50_altitude_month_seed20260921,10_10000,equipment_alt3_open,0.011002880222677036,0.008109920550131117,0.014079633218660263,0.0018639355720968902,0.005856973668311636,0.016148786777042436
