group,lag_s,flights,point,low,high
lowlands,580,4752,19821446.305823646,19402842.89758989,20236761.5977191
lowlands,710,4752,28845992.31706276,28213203.266345702,29471202.28923288
lowlands,870,4752,42134367.321035035,41175357.1740392,43071499.22950898
lowlands,1000,4752,54694677.55154896,53418455.68314912,55938024.95614237
lowlands,1070,4752,62110306.25124079,60643667.99401969,63541047.6164157
lowlands,1310,4752,90979708.21362302,88770111.46169735,93155425.19801518
lowlands,1610,4752,134505429.67393163,131172712.17880575,137746347.77926013
lowlands,1970,4752,197543146.85999945,192571185.5277768,202458081.61323988
lowlands,2410,4752,290372975.14923966,282843127.16665465,297756915.76380926
lowlands,2960,4752,430347077.2562409,418805679.563175,441581745.5043264
lowlands,3620,4752,632503417.0129175,614943283.8514599,649567547.7995629
lowlands,4440,4752,933888425.6027037,907153291.3397152,960210421.8117777
lowlands,5440,4752,1373795089.868771,1332914319.8053515,1414253422.7579365
lowlands,6660,4752,2013483840.4764795,1951487415.742626,2075562119.3080301
lowlands,8160,4752,2945576404.8714113,2852160103.975395,3040410371.4856415
lowlands,10000,4752,4291530951.5972385,4150937942.304804,4435311605.351269
beginners,10,27609,8179.215830193768,8159.907373671115,8198.62135519218
beginners,20,27609,27684.06325629668,27612.249279851832,27760.693516443567
beginners,30,27609,58195.414345178535,58031.60752038773,58372.60844792515
beginners,40,27609,99381.82827883068,99086.59561112859,99704.40758323173
beginners,50,27609,150707.35552702818,150246.61340205913,151222.29852187526
beginners,60,27609,211837.2666142999,211163.40741177005,212579.01865925032
beginners,80,27609,362296.60221433535,361085.75414209533,363624.00972727337
beginners,90,27609,451084.2396480203,449551.0363257442,452779.2096315534
beginners,100,27609,548586.4915038715,546697.1295531644,550681.3806021411
beginners,110,27609,654581.5616064264,652301.9170569647,657124.517461416
beginners,140,27609,1021523.077315409,1017829.1047148268,1025732.7029655344
beginners,170,27609,1458183.8041880366,1452745.2453382104,1464306.728387616
beginners,210,27609,2141783.822742066,2133445.3848554427,2151113.2711128234
beginners,260,27609,3148113.722321997,3135518.5182197015,3162352.546796406
beginners,320,27609,4562205.288196783,4543465.090961313,4583902.02346081
beginners,390,27609,6476240.144625458,6448922.294853011,6508703.31278852
beginners,470,27609,8988531.19618071,8948701.929776272,9035629.398319881
beginners,580,27609,12970964.858860798,12910476.189303901,13041607.685384415
beginners,710,27609,18413723.472803775,18321862.566488072,18518276.567078996
beginners,870,27609,26135441.2715775,25995382.24964379,26291559.372828074
beginners,1000,27609,33192424.219315387,33004365.808897134,33399185.38542244
beginners,1070,27609,37269962.35882601,37053156.01167681,37506387.9109624
beginners,1310,27609,52651072.56031225,52326691.60552926,53005225.51630355
beginners,1610,27609,74733362.9561989,74250527.59152503,75267769.72000514
beginners,1970,27609,105050933.00519513,104334158.42224129,105854642.71611425
beginners,2410,27609,147101948.14364713,146007188.67208102,148290738.35815704
beginners,2960,27609,206222394.60045904,204574284.3498487,208039381.30501273
beginners,3620,27609,284844420.3615232,282411092.67237747,287583478.7143651
beginners,4440,27609,390667958.4904239,387074588.941617,394758558.31949973
beginners,5440,27609,525823207.3616182,520444809.9354848,532057259.0820952
beginners,6660,27609,689917083.371965,681440126.5682245,699102523.4943601
beginners,8160,27609,876043592.7460014,863130710.8688619,889857548.9998974
beginners,10000,27609,1067664035.3721335,1048708535.5924374,1088432252.7969558
beginners_mountains,10,25691,8088.086521711903,8069.602932285592,8106.482092443918
beginners_mountains,20,25691,27423.35955507134,27354.11259787602,27498.950373457847
beginners_mountains,30,25691,57681.30933338049,57518.301950139365,57857.45480421702
beginners_mountains,40,25691,98489.32210561485,98194.41888702044,98809.51770783926
beginners_mountains,50,25691,149320.5269919848,148856.49771719292,149819.6089285631
beginners_mountains,60,25691,209841.29256028414,209162.0775208684,210557.60412541416
beginners_mountains,80,25691,358725.6523773301,357495.2841261629,360024.20516667503
beginners_mountains,90,25691,446544.4883967875,444989.03683199413,448193.85053945385
beginners_mountains,100,25691,542953.9322113113,541035.7820061625,544987.5219868125
beginners_mountains,110,25691,647730.978762356,645388.2274477793,650196.1270866779
beginners_mountains,140,25691,1010252.8680247572,1006520.0838054558,1014233.146057026
beginners_mountains,170,25691,1441316.0604052613,1435795.4389313746,1447155.8893528238
beginners_mountains,210,25691,2115557.831461182,2107170.8546993695,2124490.982299538
beginners_mountains,260,25691,3107025.3182622683,3094192.2106813244,3120670.8033709778
beginners_mountains,320,25691,4498414.639323853,4479031.436726155,4519276.635545958
beginners_mountains,390,25691,6378845.431086293,6350022.556278986,6409631.886434838
beginners_mountains,470,25691,8842701.890409136,8800519.560483754,8887716.168664988
beginners_mountains,580,25691,12739582.54752404,12675500.1872765,12808655.32004141
beginners_mountains,710,25691,18050329.830496076,17954901.711099345,18153992.220870122
beginners_mountains,870,25691,25559585.30707512,25419381.695264667,25712728.53979115
beginners_mountains,1000,25691,32400464.639184166,32217297.453538988,32601049.11785336
beginners_mountains,1070,25691,36344712.25610269,36136285.151931554,36574663.41116949
beginners_mountains,1310,25691,51174974.67405732,50869192.66956675,51515566.59259705
beginners_mountains,1610,25691,72354051.59186316,71907724.6467125,72863097.80523029
beginners_mountains,1970,25691,101254174.72700113,100591817.42067942,101996198.6467705
beginners_mountains,2410,25691,141046405.84369376,140057127.0070031,142133143.83125606
beginners_mountains,2960,25691,196472096.6822185,194990653.07189912,198099688.83925673
beginners_mountains,3620,25691,269308941.178011,267126526.43510866,271704690.3517942
beginners_mountains,4440,25691,365736830.35491425,362468316.813478,369279650.1266442
beginners_mountains,5440,25691,485878381.3780737,480933288.55643487,491025728.2257871
beginners_mountains,6660,25691,625978499.356962,618436528.1338985,633558747.596519
beginners_mountains,8160,25691,773780762.4250122,762582616.5941693,784828456.8928891
beginners_mountains,10000,25691,905260318.3654573,889417899.5718814,920951672.758576
beginners_lowlands,10,1918,9399.8639345774,9279.400926182041,9518.909483168442
beginners_lowlands,20,1918,31176.106420103162,30724.660397164356,31617.93618653174
beginners_lowlands,30,1918,65081.68747244915,64092.470389836584,66048.27297717195
beginners_lowlands,40,1918,111336.66461673222,109566.01876553269,113044.0901805461
beginners_lowlands,50,1918,169283.4826875161,166510.25006370357,171983.54852486632
beginners_lowlands,60,1918,238572.7042690089,234635.11743910462,242459.40428115719
beginners_lowlands,80,1918,410128.33957746375,403084.2817494654,417056.72213166783
beginners_lowlands,90,1918,511892.76383751,502978.7111998812,520685.6730217038
beginners_lowlands,100,1918,624032.8318506435,613046.2787257824,634921.0697667808
beginners_lowlands,110,1918,746342.9400459585,733059.9398084716,759551.3501903724
beginners_lowlands,140,1918,1172483.9463905012,1150999.003088816,1193960.80399248
beginners_lowlands,170,1918,1684121.8675473568,1652359.7137466935,1715685.495950855
beginners_lowlands,210,1918,2493072.635045111,2444360.828825058,2541607.7335512694
beginners_lowlands,260,1918,3698479.8269614936,3624302.0692493916,3772876.7061046427
beginners_lowlands,320,1918,5416660.741895804,5303321.369096636,5529795.242054296
beginners_lowlands,390,1918,7780811.357104785,7613039.797119439,7949581.517087383
beginners_lowlands,470,1918,10941868.367493164,10699719.007046103,11187143.293799747
beginners_lowlands,580,1918,16070257.330472067,15703913.856435396,16445369.86117017
beginners_lowlands,710,1918,23281265.737937458,22734472.390202,23841298.82769773
beginners_lowlands,870,1918,33848848.77107081,33008724.482011832,34678800.16181892
beginners_lowlands,1000,1918,43800470.92064639,42691139.67370116,44893383.462130435
beginners_lowlands,1070,1918,49663393.218608,48394193.93109935,50910162.57717975
beginners_lowlands,1310,1918,72422934.28908293,70523626.4402555,74316016.25812048
beginners_lowlands,1610,1918,106603481.96618366,103714820.77231564,109495214.40673614
beginners_lowlands,1970,1918,155907302.62202272,151545636.98536998,160256412.0547601
beginners_lowlands,2410,1918,228214011.34912193,221656321.11224458,234672609.51121357
beginners_lowlands,2960,1918,336824534.23419136,326809364.1104089,346837800.3605217
beginners_lowlands,3620,1918,492937223.12671083,477713017.46295744,508266333.41147697
beginners_lowlands,4440,1918,724612490.77897,701568687.17183,748179394.6785213
beginners_lowlands,5440,1918,1060871447.3737324,1026001743.4066709,1096745688.1542225
beginners_lowlands,6660,1918,1546354081.249704,1492579609.723941,1601293302.0925834
beginners_lowlands,8160,1918,2245821681.2634606,2163988960.648227,2329382076.0128183
beginners_lowlands,10000,1918,3243010173.8594017,3118106594.695864,3367437745.3239274
beginners_alt0,10,703,9929.910418839829,9759.67888686018,10105.379499729263
beginners_alt0,20,703,32984.404973353056,32307.358971887134,33677.49388931902
beginners_alt0,30,703,68717.06075735996,67213.486009951,70275.07809805908
beginners_alt0,40,703,117637.5576859107,114955.98373494485,120391.75281777374
beginners_alt0,50,703,179084.40019312396,174844.9927152157,183394.0489375192
beginners_alt0,60,703,252688.92173807105,246578.28319948402,258866.3830805318
beginners_alt0,80,703,435370.01378963445,424561.4811803003,446336.577385319
beginners_alt0,90,703,543990.9207756317,530237.881377456,557899.8121058606
beginners_alt0,100,703,663866.5324577864,646870.6721867262,681062.3533953575
beginners_alt0,110,703,794800.8434719344,774228.4915601172,815629.6787167467
beginners_alt0,140,703,1252231.3876682837,1219115.5061650106,1285994.2397311013
beginners_alt0,170,703,1803391.63311372,1754266.3666971512,1853020.564404475
beginners_alt0,210,703,2678079.3260428896,2603949.8737390833,2753899.555181677
beginners_alt0,260,703,3987229.178362514,3874747.128185756,4103674.4523564954
