discipline,altitude_band,control,lag_s,mean_m2,n_flights,n_clusters,pointwise_95_low_m2,pointwise_95_high_m2
paragliders,Plains,fixed long segments,4425.0,1474599409.357464,417,319,1379524801.1061454,1584909660.2124407
paragliders,Plains,fixed long segments,4989.0,1869585659.9121702,417,319,1748743611.8000996,2010174898.5551362
paragliders,Plains,fixed long segments,5624.0,2368880076.6720624,417,319,2215272191.054788,2547741130.1059666
paragliders,Plains,fixed long segments,6341.0,3003206699.794964,417,319,2807977658.61529,3231232014.743037
paragliders,Plains,fixed long segments,7149.0,3806723022.920114,417,319,3557780558.882432,4097801725.0646825
paragliders,Plains,fixed long segments,8059.0,4821384876.736811,417,319,4504604523.849165,5192564263.817599
paragliders,Plains,fixed long segments,9086.0,6105391297.610162,417,319,5699766811.636327,6575924927.785336
paragliders,Plains,fixed long segments,10000.0,7369763907.782149,417,319,6870738195.423043,7938037604.72255
paragliders,Hills,available segments,10.0,8571.63288543692,18173,13047,8512.257611125213,8636.13860272248
paragliders,Hills,available segments,11.0,10333.13187827825,18173,13047,10261.956539085724,10414.863477077952
paragliders,Hills,available segments,12.0,11535.104246973367,18173,13047,11452.421008612828,11629.239302690676
paragliders,Hills,available segments,14.0,15697.960710996693,18173,13047,15582.74622957568,15827.375447952463
paragliders,Hills,available segments,16.0,19427.808301448018,18173,13047,19278.726785353832,19587.042346310795
paragliders,Hills,available segments,18.0,24385.22691138673,18173,13047,24192.041756194765,24587.676581911233
paragliders,Hills,available segments,20.0,28743.03517301403,18173,13047,28514.970924653273,28992.966121804904
paragliders,Hills,available segments,23.0,37447.26832939994,18173,13047,37143.622083871654,37784.966759201554
paragliders,Hills,available segments,25.0,41720.70969163137,18173,13047,41371.60375938214,42108.52994553103
paragliders,Hills,available segments,29.0,56087.05648755409,18173,13047,55610.248771414634,56598.31281919855
paragliders,Hills,available segments,32.0,66070.97697662436,18173,13047,65505.55415772784,66693.37592740609
paragliders,Hills,available segments,37.0,86161.89478019095,18173,13047,85406.01521833242,86985.58816089075
paragliders,Hills,available segments,41.0,104859.07523442776,18173,13047,103925.0873635707,105861.12008850042
paragliders,Hills,available segments,46.0,130721.37438230959,18173,13047,129545.01392263651,132002.43700973736
paragliders,Hills,available segments,52.0,162392.48010099868,18172,13046,160923.9920733295,164033.40718910185
paragliders,Hills,available segments,59.0,209461.04418622417,18168,13044,207486.25591897068,211558.0339718036
paragliders,Hills,available segments,67.0,262490.0160786049,18167,13043,259980.38030537785,265227.1616389956
paragliders,Hills,available segments,75.0,326264.44897885586,18165,13041,323065.69024331734,329663.5459626072
paragliders,Hills,available segments,85.0,406966.5677706697,18165,13041,403009.01429269847,411355.83082917746
paragliders,Hills,available segments,95.0,506345.24953989504,18163,13039,501234.3938816992,511766.1001816393
paragliders,Hills,available segments,107.0,627936.6299623784,18157,13034,621514.2959930254,634881.121747126
paragliders,Hills,available segments,121.0,784375.5210475407,18155,13032,776224.7803358254,793230.4687337929
paragliders,Hills,available segments,137.0,988574.5751821476,18149,13028,977943.3462008589,999907.6481111917
paragliders,Hills,available segments,154.0,1226684.8277303688,18143,13025,1213508.2179923803,1241074.1017505636
paragliders,Hills,available segments,174.0,1536641.9657667356,18140,13024,1519748.6245230262,1555113.6442389048
paragliders,Hills,available segments,196.0,1908726.8546548404,18139,13023,1887312.1342129773,1932103.7174747898
paragliders,Hills,available segments,221.0,2373694.0887231766,18135,13019,2346544.1196254343,2403525.7428876255
paragliders,Hills,available segments,249.0,2953255.0235936907,18129,13015,2918502.133114502,2991215.13131951
paragliders,Hills,available segments,281.0,3669822.3103151126,18123,13012,3625006.6770457155,3718689.0983502744
paragliders,Hills,available segments,316.0,4540250.420694018,18116,13008,4483509.28643769,4601564.845422051
